ID,Año,"Medicos_generales_especialistas_y_odontologos",Personal_medico_en_formacion,Medicos_en_otras_labores,Enfermeras_generales_y_especialistas,Pasantes_de_enfermeria,Auxiliares_de_enfermeria,Personal_de_enfermeria_en_otras_labores,Personal_profesional,Personal_tecnico,Otro_personal,TOTAL,ID_Estado
190,2021,18108,6030,1920,21552,3098,8384,3805,4542,14382,21890,103711,15
191,2022,18535,5925,1914,21483,3472,8621,3928,4677,14328,21509,104392,15
192,2023,18399,8543,2013,21464,3172,8950,4246,4704,14262,21451,107204,15
193,2012,4885,1777,485,3698,1013,3501,470,1493,1310,6014,24646,16
194,2013,5006,1935,584,3778,1245,3564,539,1493,1317,6465,25926,16
195,2014,5086,1826,607,3950,1385,3450,608,1543,1381,6505,26341,16
196,2015,5505,1654,702,4140,1441,3475,643,1200,1639,6933,27332,16
197,2016,5516,1680,607,4138,1413,3498,592,1359,2607,6342,27752,16
198,2017,5594,1723,633,4245,1552,3672,585,1345,2686,6601,28636,16
199,2018,5568,1852,614,4462,1411,3503,520,1303,2672,6519,28424,16
200,2019,5626,1708,568,4504,1393,3345,537,1345,2670,6705,28401,16
201,2020,6033,1785,517,4965,1403,3450,536,1351,2715,6832,29587,16
202,2021,6008,1931,502,4933,1144,3391,606,1343,2657,6601,29116,16
203,2022,6052,1944,532,4956,1156,3549,561,1290,2645,6548,29233,16
204,2023,6160,2739,543,5212,1199,3578,564,1372,2583,6871,30821,16
205,2012,2284,397,249,2582,314,902,269,678,1024,2758,11457,17
206,2013,2492,428,250,2621,459,1176,267,702,1276,2782,12453,17
207,2014,2634,510,265,2709,444,1252,297,778,1263,3000,13152,17
208,2015,2717,500,311,2605,536,1347,293,507,1264,2870,12950,17
209,2016,2699,680,264,2604,647,1332,301,465,1695,2764,13451,17
210,2017,2740,733,249,2482,732,1466,238,471,1624,2816,13551,17
211,2018,2796,690,284,2653,697,1388,267,495,1659,2866,13795,17
212,2019,2814,632,214,2692,702,1348,291,510,1621,2892,13716,17
213,2020,2827,519,194,2647,829,1417,295,534,1700,2983,13945,17
214,2021,2795,538,224,2724,417,1412,290,536,1698,3278,13912,17
215,2022,2865,536,218,2955,553,1172,313,567,1699,3359,14237,17
216,2023,2959,828,242,2990,719,1375,323,638,1793,3700,15567,17
217,2012,1786,479,181,1868,216,766,187,629,575,2228,8915,18
218,2013,1822,549,187,1878,228,776,171,657,587,2240,9095,18
219,2014,1804,570,187,1868,259,793,173,663,588,2181,9086,18
220,2015,1911,594,214,1902,367,891,195,380,706,2526,9686,18
221,2016,1904,622,130,1951,417,971,152,432,1017,2300,9896,18
222,2017,1890,611,144,1905,461,998,148,425,952,2318,9852,18
223,2018,2011,667,168,2008,477,1024,152,429,965,2392,10293,18
224,2019,2090,645,140,1826,551,1062,169,519,978,2396,10376,18
225,2020,2336,739,159,1935,556,1252,225,527,1234,2621,11584,18
226,2021,2519,754,163,2208,443,1288,225,540,1326,2658,12124,18
227,2022,2496,764,154,2337,477,1351,231,457,1305,2730,12302,18
228,2023,2596,1222,185,2452,504,1502,236,510,1389,2788,13384,18
229,2012,4686,1659,719,5516,533,3329,855,2873,2416,7199,29785,19
230,2013,5611,2107,764,6404,742,3821,829,3355,2802,8321,34756,19
231,2014,5837,2265,840,6638,874,3871,877,3347,2965,8495,36009,19
232,2015,6324,2358,1089,6824,856,4000,934,1744,3786,8057,35972,19
233,2016,6260,2706,549,7637,932,4139,847,1801,5395,7617,37883,19
234,2017,6290,2996,584,6983,980,4158,816,1864,5696,7481,37848,19
235,2018,6414,3844,671,7150,1430,4230,829,2028,5914,7692,40202,19
236,2019,6402,4007,641,7015,1377,4036,895,1987,5982,7348,39690,19
237,2020,6505,3852,624,7239,1119,4308,870,1949,5862,7345,39673,19
238,2021,6768,4072,673,7690,1246,4559,944,2081,6066,7629,41728,19
239,2022,6919,4367,673,7939,1345,4418,919,2140,6137,7817,42674,19
240,2023,7181,4388,735,8093,1413,4479,976,2160,6109,8092,43626,19
241,2012,4579,1080,386,4222,403,3108,301,794,1528,5016,21417,20
242,2013,4815,970,431,4333,426,3207,310,811,1735,5021,22059,20
243,2014,4992,1151,383,4757,453,3028,292,856,1749,5215,22876,20
244,2015,5056,1137,415,4824,523,2947,306,683,1871,5070,22832,20
245,2016,5284,1323,355,5183,754,2861,314,822,2262,5072,24230,20
246,2017,5283,1287,376,5068,800,2877,303,814,2182,5198,24188,20
247,2018,5368,1232,411,5193,895,2783,308,871,2160,5322,24543,20
248,2019,5333,1115,339,5550,839,2536,363,895,2091,5264,24325,20
249,2020,5575,1034,357,5775,790,2782,392,911,2069,5649,25334,20
250,2021,5403,1319,345,5654,769,2898,404,961,2100,5357,25210,20
251,2022,5665,1570,403,6000,830,2917,437,986,2206,5412,26426,20
252,2023,5681,1801,386,6034,851,2989,562,980,2172,5034,26490,20
253,2012,5636,2261,627,5216,933,4038,560,1694,2275,7228,30468,21
254,2013,5479,2188,591,5349,990,3951,538,1681,2219,6571,29557,21
255,2014,6445,2604,704,5632,1125,4642,707,1987,2673,8108,34627,21
256,2015,6830,2670,899,5444,1373,5194,748,1350,3196,10134,37838,21
257,2016,6887,2874,714,5727,1456,5504,659,1412,3967,9922,39122,21
258,2017,7133,3010,700,5792,1682,5638,629,1444,4006,9714,39748,21
259,2018,6996,2772,684,5704,1722,5621,627,1415,3984,7342,36867,21
260,2019,7271,2877,606,5889,1523,5555,692,1478,3965,7676,37532,21
261,2020,6849,2807,561,5686,1710,5322,712,1335,3846,7695,36523,21
262,2021,7166,3157,583,5645,1653,5294,628,1419,3637,8290,37472,21
263,2022,7185,3722,604,5648,1665,5341,603,1505,3821,8096,38190,21
264,2023,7830,4861,652,6468,1761,5561,697,1683,4196,8668,42377,21
265,2012,2081,823,232,2076,107,1308,182,853,738,2441,10841,22
266,2013,2144,848,232,2093,115,1378,187,843,772,2498,11110,22
267,2014,2192,782,235,2024,155,1499,218,858,791,2551,11305,22
268,2015,2308,811,271,1956,218,1675,219,440,942,2443,11283,22
269,2016,2360,826,181,2173,213,1638,225,458,1446,2306,11826,22
270,2017,2493,887,206,2241,251,1619,226,441,1443,2378,12185,22
271,2018,2523,910,215,2213,240,1698,219,453,1512,2422,12405,22
272,2019,2944,1004,212,2637,241,1930,249,613,1823,2565,14218,22
273,2020,2970,1061,223,2684,221,1940,242,576,1861,2651,14429,22
274,2021,3082,1420,222,3038,190,1919,269,561,2053,2552,15306,22
275,2022,3052,1412,251,2928,148,1979,318,538,1964,3045,15635,22
276,2023,3094,2083,236,2927,159,1991,321,595,1867,3228,16501,22
277,2012,1918,156,254,2013,58,1064,162,699,664,2732,9720,23
278,2013,1902,183,231,1905,67,1053,169,670,675,2636,9491,23
279,2014,1994,274,247,1966,144,1101,174,671,720,2695,9986,23
280,2015,2056,289,355,2036,188,1168,178,382,878,2694,10224,23
281,2016,2085,441,210,2082,304,1186,175,388,1268,2579,10718,23
282,2017,2164,458,217,2109,385,1180,213,454,1213,2654,11047,23
283,2018,2219,343,254,2391,408,1159,231,454,1278,2703,11440,23
284,2019,2341,332,239,2575,353,1192,243,507,1491,2751,12024,23
285,2020,2464,197,222,2747,213,1322,223,512,1395,2958,12253,23
286,2021,2453,244,228,2806,252,1401,270,532,1406,3012,12604,23
287,2022,2350,436,263,2590,544,1311,320,537,1504,2982,12837,23
288,2023,2402,352,291,2638,326,1313,327,520,1490,2959,12618,23
289,2012,2760,1302,276,3127,232,2013,281,1109,1393,3476,15969,24
